ticker
MMM
ADBE
ABBV
AOS
AMD
ABT
ACN
A
APD
ALGN
ALB
AFL
ALLE
GOOG
ALL
GOOGL
MO
AMZN
AMP
AIG
AME
APH
AMGN
ADI
AON
AAPL
AMAT
APP
ADM
ACGL
AIZ
ANET
AJG
ADSK
ADP
AZO
AXON
AVY
ATO
BKR
BBY
TECH
BIIB
BLK
XYZ
BX
BA
BKNG
BSX
BR
AVGO
BF-B
CHRW
CDNS
CAH
CARR
CVNA
CBOE
CASY
CAT
CBRE
COR
CF
CRL
CMG
CVX
CB
CHD
CIEN
CTAS
CSCO
CLX
CME
KO
CTSH
COHR
COIN
CL
FIX
COP
CEG
COO
CPRT
GLW
CTVA
CSGP
COST
CRH
CTRA
CRWD
DHR
CMI
CSX
DECK
DELL
DE
DVN
FANG
DXCM
DLR
DASH
DOV
DHI
DD
ETN
EBAY
ECL
EW
EA
EMR
EME
EQT
EOG
EPAM
EFX
EQIX
ERIE
EG
EXE
EXPE
EXPD
FDS
FFIV
XOM
FICO
FAST
FSLR
FISV
FTNT
FOXA
FOX
FTV
BEN
GRMN
GEHC
IT
GE
FCX
GNRC
GEV
GIS
GILD
GDDY
GL
HAL
HIG
HAS
GD
HSY
HD
HLT
HRL
HON
HUBB
HWM
IBM
HII
IEX
ITW
IDXX
IR
PODD
IBKR
INTC
ICE
INTU
ISRG
INCY
IVZ
JBHT
JKHY
JBL
J
JCI
JNJ
KVUE
KEYS
KMB
KLAC
LHX
LH
LRCX
LDOS
LEN
LLY
LIN
LII
LMT
LYV
LULU
LOW
LITE
MAR
MRSH
MLM
MAS
MA
MCD
MCK
MDT
META
MRK
MTD
MCHP
MSFT
MU
MPWR
MNST
MCO
MSI
MDLZ
MSCI
NDAQ
NTAP
NEM
NFLX
NWSA
NKE
NWS
NDSN
NSC
NOC
NUE
NVDA
NVR
ODFL
NXPI
ORLY
PCAR
PKG
OTIS
ORCL
ON
PANW
PYPL
PNR
PH
PEP
PAYX
PM
POOL
PFG
PGR
PLD
PPG
PG
PTC
PSA
PHM
DGX
Q
PWR
RL
RTX
REGN
RSG
QCOM
RMD
HOOD
ROK
ROL
RVTY
ROP
RCL
CRM
SPGI
SNDK
SLB
STX
ROST
NOW
SHW
SWKS
SNA
LUV
SBUX
STE
STLD
SYK
SMCI
SNPS
TROW
TPR
TTWO
TEL
TDY
TSLA
TXN
TER
TPL
TXT
TMO
TKO
TJX
TTD
TSCO
TT
TRV
TRMB
TYL
ULTA
UNP
UBER
UPS
UNH
URI
VLO
VLTO
VRSK
VRSN
VRTX
VRT
V
VMC
WRB
WMT
GWW
DIS
WAB
WM
WAT
WELL
WST
WDC
WY
WSM
WTW
WDAY
XYL
ZBRA
YUM
ZTS
